idiom,meaning,s_f,s_l,s_a
blue eyed boy,a person who is treated with special favor.,"He was the blue-eyed boy of the company, always receiving praise and promotions",The child with striking azure irises was the blue-eyed boy in the family,the blue-eyed boy
born yesterday,naive; inexperienced,He was not born yesterday and could easily see through their lies,"Since today is her first birthday, she was not born yesterday",not born yesterday
bread and butter,to indicate what a person earns or earns for,"Graphic design is their bread and butter, as it's their main source of income","On the table, there was their bread and butter ready for breakfast",their bread and butter
break a leg,good luck,"Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage
break down,to stop working,"Let me break down the situation for you, so you can understand the complexity",The firefighters had to break down the situation by removing debris after the collapse,break down the situation
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together
break the mould,to do something different from what is expected,Her innovative ideas were breaking the mould in the industry,The sculptor was breaking the mould to reveal the finished statue,breaking the mould
break up,end a romantic relationship with someone,"After months of arguments, they decided to break up and end their relationship",The construction workers decided to break up the concrete with a jackhammer,decided to break up
bright spark,an intelligent and lively person (humorously),"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark
buckle down,make sure something stays in place,"With the deadline approaching, we had to buckle down to work and finish the project",The carpenter had to buckle down to work on the leather belt,to buckle down to work
build bridges,to foster good relationships,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them
building blocks,something that is a basic element (of the subject),Hard work and dedication are the building blocks of success,The children used wooden cubes as the building blocks of success in their tower construction,the building blocks of success
bun in the oven,to be pregnant,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them
burn fingers,to bear an unpleasant result of an action that has been taken in the past,They burned their fingers by investing in a risky business,They burned their fingers while trying to grab a hot pan,They burned their fingers
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,"Working two jobs and studying, she was burning the candle at both ends","During the experiment, they were burning the candle at both ends to observe the melting rate",burning the candle at both ends
bury head in the sand,hide from the truth,They buried their heads in the sand when confronted with the company's financial problems,The ostriches buried their heads in the sand to search for food,buried their heads in the sand
butter up,to flatter someone so as to get something in return from them,He tried to butter up the boss by complimenting her outfit,It was her job to butter up the boss's toast every morning,to butter up the boss
call a spade a spade,this phrase means to say something the way it is,She called a spade a spade when she confronted her friend about her dishonesty,"While playing cards, she called a spade a spade when she identified the suit correctly",She called a spade a spade
can of worms,"to get into something that is messy, has problems and is unwanted","By asking about his past, she inadvertently opened a can of worms in their conversation",The fisherman opened a can of worms to bait his hook,opened a can of worms
card up sleeve,to have a secret advantage that is suddenly revealed to change the game,"During the negotiation, he had a card up his sleeve that gave him an advantage","As a magician, he cleverly had a card up his sleeve for his next trick",had a card up his sleeve
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,"He's been carrying the torch for her since high school, but she never noticed","During the relay race, he was carrying the torch for her until it was her turn to run",carrying the torch for her
cash in,to earn out of something in big amounts,He decided to cash in on the opportunity and invest in the startup,"At the casino, she decided to cash in on the opportunity and exchange her chips for money",cash in on the opportunity
castles in the air,thinking of some impossible task,He spent his days building castles in the air instead of focusing on his job,The artist created a stunning installation of building castles in the air using lightweight materials,building castles in the air
catch napping,"surprise, take unawares.",The surprise quiz caught him napping and he couldn't answer any questions,I walked into the room and caught him napping on the couch,caught him napping
catch up,"to get to the same level, standard, or status as something or someone",I need to catch up with her to discuss the latest news,I had to run faster to catch up with her during the race,to catch up with her
chapter and verse,verbatim; word for word details.,"When asked about the new policy, she gave them chapter and verse on the company's regulations",The priest gave them chapter and verse from the Bible during the sermon,gave them chapter and verse
child's play,an informal expression meaning something that is easy to do,Solving the puzzle it was child's play for the experienced detective,The playground equipment it was child's play for the kids to enjoy,it was child's play
chill wind,to encounter the problems or trouble,"When the news of the layoffs arrived, a chill wind blew through the office","As we walked through the forest, a chill wind blew and made us shiver",a chill wind blew
chink in armour,a susceptible or vulnerable area.,"After analyzing their strategy, we found a chink in their armour that we could exploit","While examining the knight's suit, he found a chink in their armour that needed repair",found a chink in their armour
choke up,make a person become overemotional and speechless,"Hearing the sad news, he started to choke up and could n't speak","While eating too quickly, he started to choke up on a piece of food",he started to choke up
clamp down,suppress or prevent something in an oppressive or harsh manner,The principal decided to clamp down on the situation by enforcing stricter rules,The mechanic used a tool to clamp down on the situation and secure the loose parts,to clamp down on the situation
clean slate,to wipe the past out and begin afresh,"After apologizing, they decided to start with a clean slate and rebuild their friendship",The artist decided to start with a clean slate by wiping off the chalkboard,to start with a clean slate
clean sweep,an irresistible victory,The team made a clean sweep by winning all the matches in the tournament,The janitor made a clean sweep of the classroom floor,made a clean sweep
clear the air,get rid of all doubts and negative feelings,"After the argument, we cleared the air with her by discussing our feelings",We cleared the air with her by opening the windows to let the smoke out,we cleared the air with her
clear the decks,get ready for action.,We cleared the decks for the event by finishing all our pending tasks,We cleared the decks for the event by removing all the furniture from the patio,We cleared the decks for the event
close call,a narrow escape from disaster,He had a close call when he narrowly avoided a car accident,The two phones had a close call when they were placed side by side,had a close call
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","Despite the success of the project, there was a cloud on the horizon in the form of budget cuts","As we looked out to sea, we noticed a cloud on the horizon signaling an approaching storm",a cloud on the horizon
coast is clear,there is no danger in sight or that nobody can see you,"After the security guard left, we knew the coast is clear to enter the building","Looking through the binoculars, the sailor confirmed that the coast is clear of any obstacles",the coast is clear
coin money,make a great deal of money easily or very quickly.,Their successful business venture had them coining money together in no time,"As mint workers, they were coining money together at the factory",coining money together
cold feet,loss of courage,She got cold feet just before her big presentation,"After walking in the snow without proper shoes, she got cold feet",She got cold feet
cold turkey,in a unexpected and sudden way,He quit smoking by going cold turkey without any assistance,"She was going cold turkey for her sandwich, but decided to add some cheese",going cold turkey
come across,to meet someone,"While researching, I came across the old book that provided valuable information","Walking through the library, I accidentally stepped on and came across the old book lying on the floor",came across the old book
come clean,to make a disclosure,"After hiding the truth for so long, he decided to come clean about his past","After playing in the mud, the kids decided to come clean and took a bath",decided to come clean
come down with,to have (usually a disease),He came down with something after being exposed to the cold weather,The kite came down with something tangled in its strings,came down with something
come full circle,return to an earlier position or decision.,"After years of exploring different career paths, she came full circle and returned to her passion for teaching",The hiker came full circle after walking around the entire circumference of the lake,came full circle
come out swinging,be confrontational,"After the criticism, he came out swinging with a strong rebuttal","As soon as the boxing match started, he came out swinging at his opponent",he came out swinging
cook his goose,to spoil someone's chances of success,"When he was caught cheating, his teacher cooked his goose by failing him","For dinner, the chef cooked his goose with a delicious orange sauce",cooked his goose
cool heels,to wait or take rest,They were cooling their heels in the waiting room before the interview,"After walking on hot sand, they were cooling their heels in the ocean water",were cooling their heels
count chicken,make plans based on events that may or may not happen,He was counting chickens before they hatch when he started planning his victory party,The farmer was counting chickens before they hatch by estimating the number of eggs that would become chicks,was counting chickens before they hatch
crack the whip,make someone work harder by asserting power or authority,The manager cracked the whip on the team to meet the deadline,The circus performer cracked the whip on the team of horses to start the show,cracked the whip on the team
cross swords,to fight with another person physically or verbally.,"During the heated debate, she crossed swords with him over their differing opinions","At the fencing tournament, they crossed swords with him in a thrilling match",crossed swords with him
cross the bridge,to delay worrying about something that might not happen anyway,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together
cross the line,behave in a way that is not acceptable,He crossed the line with her when he made that inappropriate comment,"During the race, he crossed the line with her as they finished together",He crossed the line with her
crush,feel love-sick for someone.,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush
cry over spilt milk,to be upset about things that have already been done,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk
cup of tea,to like something,"Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea
cut and dried,ready-made,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project
cut the cord,to end a connection with someone,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her
cut the mustard,to succeed,"Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat
dance to tune,to do what someone else forces you to do,He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune
dancing on their grave,outlive or outlast someone and celebrate their demise,He was so happy about his rival's failure that he was practically dancing on their grave,The disrespectful teenagers were caught dancing on their grave in the cemetery,dancing on their grave
dead duck,a project or scheme which has been abandoned or is certain to fail,"Without any support, he was a dead duck in the situation and couldn't succeed",The hunter shot down a dead duck in the situation and retrieved it,a dead duck in the situation
dead in the water,unable to produce movement,The project was found it dead in the water after the funding was cut,The fisherman found it dead in the water while he was out on the lake,found it dead in the water
deep down,felt strongly and often hidden from other people,He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean
deliver the goods,do what is required,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time
die in harness,to expire while working,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.","By spreading false rumors about the boss, he was digging his own grave at work","As a cemetery worker, he was digging his own grave to prepare for his eventual burial",was digging his own grave
do the trick,successfully achieve a result,"Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there
does exactly what it says on the tin,someone or something is exactly as they seem,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin
double-edged sword,something that could either help you or hurt you,"Having a high-profile job can be a double-edged sword in this situation, as it brings both prestige and stress",The knight wielded a double-edged sword in this situation to defend himself against multiple attackers,a double-edged sword in this situation
down to earth,"decent, simple, realistic","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person
draw a blank,to get no response from someone,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank
drive a wedge between,to damage the good relationship that two people or groups of people have,The disagreement started to drive a wedge between them and their friendship,The lumberjack used a mallet to drive a wedge between them and split the log,to drive a wedge between them
drive up the wall,to make someone angry or irritated,His constant humming is driving me up the wall,The remote-controlled car was driving me up the wall as it climbed vertically,driving me up the wall
drop a bombshell,"make an unexpected, startling or disturbing announcement",The CEO dropped a bombshell during the meeting when he announced the company's bankruptcy,The clumsy actor accidentally dropped a bombshell during the meeting while filming a war scene,dropped a bombshell during the meeting
drop by,an informal visit,I'll drop by the store to see if they have any new books,The clumsy customer accidentally let a jar drop by the store entrance,drop by the store
eat him alive,to criticize someone severely because you are angry with them,His lack of preparation will eat him alive in the competition against more experienced opponents,The carnivorous insects would eat him alive in the competition if he didn't wear protective gear,eat him alive in the competition
elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward","During the family meeting, it was time to address the elephant in the room and discuss the ongoing conflict","At the wildlife conservation conference, the speaker decided to address the elephant in the room and talk about habitat preservation",to address the elephant in the room
end of story,there is  nothing more to add to the matter under discussion,"I told him I wasn't interested, and that's the end of the story","She closed the book and said, 'that's the end of the story'",that's the end of the story
every nook and cranny,to look for something everywhere,"To find the perfect gift, they searched every nook and cranny of the shopping mall","During the deep cleaning, they searched every nook and cranny of the house for dust and dirt",they searched every nook and cranny
everything but the kitchen sink,almost everything that one can think of,"For our camping trip, we packed everything but the kitchen sink to be prepared","While moving, they packed everything but the kitchen sink, which was left for the new owners",packed everything but the kitchen sink
face the music,receive punishment,"After making a mistake at work, they faced the music together and accepted the consequences","As the orchestra began to play, they faced the music together and enjoyed the performance",they faced the music together
fall at first hurdle,to fail to overcome the first difficulty encountered,The new employee fell at the first hurdle when he failed to complete the initial task,The inexperienced horse rider fell at the first hurdle during the race,fell at the first hurdle
fall between the cracks,be ignored or unobserved,His request for a promotion fell between the cracks due to the company's restructuring,The small toy fell between the cracks of the wooden floor,fell between the cracks
fall on his sword,to accept the consequences of an unsuccessful or wrong action,He decided to fall on his sword and take responsibility for the team's failure,"During the reenactment, he accidentally tripped and started to fall on his sword",to fall on his sword
fall on our feet,to succeed in doing something where there was a risk of failure,"Despite the challenges, we managed to fall on our feet and succeed","During the dance routine, we tripped and managed to fall on our feet",to fall on our feet
fall out,to disagree with someone about something,They had a fall out over a disagreement about their business,"While climbing the tree, they had a fall out and landed on the ground",They had a fall out
fan the flames,make a bad situation even worse,Their constant arguing only fanned the flames together and made the situation worse,They fanned the flames together to keep the campfire going,fanned the flames together
