idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
chink in armour,a susceptible or vulnerable area.,figurative,"After analyzing their strategy, we [[found a chink in their armour]] that we could exploit",그들의 전략을 분석한 후 우리는 그들에게서 우리가 이용할 수 있는 [[약점을 발견했습니다]],分析了他们的策略之后，我们发现了一个可以利用的对方弱点,"לאחר שבחנו את האסטרטגיה שלהם, מצאנו [[פרצה]] שיכולנו לנצל","Lẹyin ti a tu ẹtan won kalẹ, a ri [[abuku kan]] ti a le yanjẹ."
chink in armour,a susceptible or vulnerable area.,literal,"While examining the knight's suit, he [[found a chink in their armour]] that needed repair",기사의 갑옷을 조사하다가 그는 수리가 필요한 [[갑옷 사이의 틈을 발견했습니다]],检查了骑士的装甲之后，我们发现了一个需要修补的裂缝,בזמן שבחן את החליפה של האביר הוא [[מצא סדק בשריון]] שהצריך תיקון,"Bi o ti n ṣayẹwo aṣọ oloye naa, o [[ri iho lara ihamọra wọn ]] ti o nilo itunṣe. "
go the extra mile,to make an extra effort,figurative,"To make sure the project was perfect, [[he went the extra mile]] and double - checked everything",프로젝트가 완벽했는지 확인하기 위해 그는 모든것에 두 번 확인하고 [[더 많은 노력을 기울였습니다]] ,为了完美完成项目，[[他们多走了一步]]，把所有的东西又检查了一遍,[[הוא השקיע מאמץ נוסף]] ובדק את הכל שוב כדי לוודא שהפרויקט מושלם,"Lati ri daju pe igbero naa ṣe la ṣepe , [[o fitafita ]] yẹ ohun gbogbo wo lẹẹmeji."
go the extra mile,to make an extra effort,literal,"During the marathon, [[he went the extra mile]] by mistake due to a wrong turn",마라톤 도중 그는 실수로 방향을 잘못 잡아서 [[몇 마일을 더 갔습니다]],马拉松的时候，[[他]]拐错了一个弯，结果[[多跑了一英里]],"במהלך המרתון, [[הוא הלך את המייל הנוסף]] בטעות בגלל פנייה לא נכונה","Nigba ti wọn ṣe idije ere-sisa ọlọnajijin, [[o ṣa fikun maili ]] ti o sa nitori pe o ṣiṣe lọ gbọna ti o tọ."
a whole new ball game,a significant change in circumstances.,figurative,"After the company's merger, [[it's a whole new ball game]] for the employees",회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]],公司合并后，对员工来说[[变化巨大]],"אחרי המיזוג של החברה, [[מדובר בכללי משחק חדשים]] עבור העובדים","Leyin ti ile-ise naa ba pari idalu , [[gbogbo nkan yoo yi pada ]] fun awọn oṣiṣẹ rẹ. "
a whole new ball game,a significant change in circumstances.,literal,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]],从足球变成棒球，对这些球员来说是[[全新的球赛]],"כשהם החליפו מכדורגל לבייסבול, [[זה היה משחק חדש לחלוטין]] עבור השחקנים","Nigbati wọn yipada lati eere bọọlu afẹsẹgba si bọọlu afi patako gba, [[ nṣe lo di ere bọọlu tuntun]] fun awọn agbabọọlu naa "
hit the bull's-eye,to be exactly right about something or achieve the best result possible,figurative,Her speech [[hit the bull's-eye]] and resonated with the audience,그녀의 연설은 [[적중해서]] 청중의 공감을 얻었습니다,他的讲话一针见血，引起了听众的共鸣,הנאום שלה [[היה מדויק ומוצלח]] והשפיע על הקהל,ọrọ ẹ na [[dajudaju]] to fi jẹ pe o ba gbogbo olugbọ naa lara mu. 
hit the bull's-eye,to be exactly right about something or achieve the best result possible,literal,"With a steady hand, she aimed and [[hit the bull's-eye]] on the target",떨림없는 안정된 손으로 그녀는 [[목표물을 겨냥하고]] 과녁을 맞았습니다,借助平稳的手，她瞄准并且射中了靶心,"ביד יציבה, היא כיוונה ו[[פגעה בעין של השור]] במטרה"," Pẹlu ọwọ ti o daduro, o ba [[oju maalu]] naa lori afojusun. "
use your loaf,To tell someone to use their brain more in analysing what they are doing.,figurative,[[They used their loaf]] to solve the complex puzzle,복잡한 퍼즐을 풀기 위해 [[최대한 그들의 지식과 생각을 도출했습니다]],他们绞尽脑汁想解决这个复杂的谜团,[[הם הפעילו את המוח שלהם]] כדי לפתור את החידה המורכבת,[[Wọn lo ọgbọn wọn]] fi la iṣoro naa ni di. 
use your loaf,To tell someone to use their brain more in analysing what they are doing.,literal,[[They used their loaf]] of bread to make sandwiches for lunch,그들은 점심으로 샌드위치를 만들기 위해 [[한 덩어리의 빵을 사용했습니다]],他们用面包做三明治作为午餐,[[הם השתמשו בכיכר]] הלחם [[שלהם]] כדי להכין כריכים לארוחת הצהריים,[[Wọn lo akaṣu]] burẹdi wọn fi ṣe sandwiiṣi fun ounjẹ ọsan.
deliver the goods,do what is required,figurative,The new employee [[delivered the goods on time]] by meeting all the project deadlines,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],新雇员[[按时完成了工作]]。,העובד החדש [[עשה את מה שנדרש ממנו]] בכך שעמד בכל הדדליינים של הפרויקט,Oṣiṣẹ tuntun naa [[tete ṣe gbogbo nkan ti o yẹ ]]  nigbati o pari gbogbo iṣẹ ti o ni ṣe. 
deliver the goods,do what is required,literal,The courier [[delivered the goods on time]] to the customer's doorstep,택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,快递员[[把东西准时送到]]顾客门口。,השליח [[סיפק את המצרכים]] לפתח דלתו של הלקוח [[בזמן]],Ojiṣẹ naa [[ti tete ko gbogbo ọja ]]  naa si iwaju ile awọn onibara naa.
can of worms,"to get into something that is messy, has problems and is unwanted",figurative,"By asking about his past, she inadvertently [[opened a can of worms]] in their conversation",그의 과거에 대해 물음으로써 그녀는 그들의 대화에서 고의가 아니게  [[문제를 크게 만들었습니다]],对话中她问起了他的过去，结果不小心[[打开了潘杜拉的盒子]],"מבלי להתכוון, היא [[פתחה תיבת פנדורה]] בכך שהיא שאלה על העבר שלו בשיחה שלהם","Bi o ṣe bere nipa ọjọ ẹyin ẹ, o ṣa imọ [[da wahala]] sọrọ ti wọn sọ."
can of worms,"to get into something that is messy, has problems and is unwanted",literal,The fisherman [[opened a can of worms]] to bait his hook,낚시꾼이 낚시바늘에 미끼를 달기 위해 [[지렁이로 가득 찬 통을 열었습니다]],渔夫[[打开了一罐虫子]]，给他的鱼钩上诱饵,הדייג [[פתח פחית של תולעים]] כדי לשים פתיון על החכה,Apẹja naa [[ṣi tanganran kokoro]] ti o fi de iwọ rẹ.
take a cue from,to do what is recommended by someone else,figurative,You should [[take a cue from her]] and start organizing your time better,당신은 [[그녀가 추천하는 일을 해야 하고]] 시간을 더 잘 정리하기 시작해야 합니다,你应该听她的建议，好好管理你的时间,אתה צריך [[לקחת דוגמה ממנה]] ולהתחיל לארגן את הזמן שלך טוב יותר,"O ni lati [[gbọnran si lẹnu]], ki o ma ṣe atoto akoko rẹ. "
take a cue from,to do what is recommended by someone else,literal,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",당구 게임 중에 그는 [[그녀에게서 신호를 받아]] 그녀가 가장 좋아하는 것을 사용하기로 결정했습니다.,打桌球的时候，他决定用她的球杆，就是她最喜欢的球杆,"בזמן משחק הפול, הוא החליט [[לקחת ממנה מקל]] ולהשתמש במקל המועדף עליה","Nigbati wọn ṣe ere snooker, o pinu lati [[gba igi snooker ]]naa lati fi mu  ohun ti o fẹran ju lọ."
wet the baby's head,to have drink to celebrate the birth of a baby,figurative,"After the birth of their child, they invited friends over to [[wet the baby's head]] with a small celebration","아이가 태어난 후 친구들을 [[아기의 탄생을 축하하기 위해]] 초대하여 작은 잔치를 베풀었습니다",孩子出生以后，他们请朋友来搞了一个小小的庆祝,"אחרי לידת הילד שלהם, הם הזמינו אליהם חברים כדי [[לחגוג את הלידה של התינוק]] עם מסיבה קטנה","Lẹyin igba ti wọn bimọ, wọn pe awọn ọrẹ sile lati fi [[ṣe ayẹyẹ ]] kekere [[ibi ọmọ naa]] ."
wet the baby's head,to have drink to celebrate the birth of a baby,literal,"During the baptism ceremony, the priest gently [[wet the baby's head]] with holy water","세례식에서 사제는 성수로 부드럽게 [[아기의 머리를 적셨습니다]]",洗礼期间，牧师轻柔的用圣水淋湿了婴儿的头,"במהלך טקס ההטבלה, הכומר [[הרטיב את ראשו של התינוק]] בעדינות עם מים קדושים","Nigbati wọn ṣe ayẹyẹ iribọmi naa, alufa [[da omi]]  mimọ [[si ori ọmọ naa.]] "
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,figurative,He never hesitates to [[blow his own horn]] about his accomplishments,그는 자신의 업적에 대해 [[자신을 과시하는 것을]] 절대로 주저하지 않습니다,他从来不忘记炫耀他的成就,הוא אף פעם לא מהסס [[להלל את עצמו]] בנוגע להישגים שלו,Ko kin ṣiyemeji lati  [[gberaga]] nipa gbogbo aṣeyọri ẹ.
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,literal,"As a trumpet player, he would [[blow his own horn]] during practice",트럼펫 연주자로서 그는 연습 도중에 [[뿔피리를 불곤]] 했습니다,作为一个管弦乐手，他排练的时候就吹自己的号,"בתור נגן חצוצרה, הוא היה [[נושף בקרן של עצמו]] בזמן האימון","Gẹgẹ bi afunfere, o ma [[fun fere ẹ ]] ti wọn ba n ṣe pratisi."
hold all the aces,be in a winning position.,figurative,"During the negotiation, [[he held all the aces]] and had the upper hand",협상하는 동안 [[상황을 압도하고 ]] 우위를 점했습니다.,他在谈判中拥有所有的王牌，占据上风,במהלך המשא ומתן [[היה לו יתרון]] וידו הייתה על העליונה,"Nigba ti wọn ṣiro isọwo,[[ ohun ni o loju rere ju]] ti o si ni  ọwọ oke."
hold all the aces,be in a winning position.,literal,"During the poker game, [[he held all the aces]] in his hand",포커 게임 중에 [[그는 모든 에이스를 손에 쥐었습니다]],他在那场扑克游戏里，手上拿了所有的王牌,בזמן משחק הפוקר [[הוא החזיק את כל האסים]] ביד שלו,"Nigbati wọn ta ere kaadi poka, [[o di gbogbo kaadi esi lọwo]]."
push the boat out,celebrate; enjoy oneself.,figurative,"For her birthday, [[we pushed the boat out]] and threw a huge party",그녀의 생일을 맞아 [[우리는 돈을 마구 쓰며]] 성대한 파티를 열었습니다,我们举办了一个巨大的派对，庆祝她的生日,לכבוד יום ההולדת שלה [[חגגנו]] במסיבה ענקית,"[[A ṣe ajọyọ]] , ṣe ayẹyẹ nla fun ọjọ ibi ẹ."
push the boat out,celebrate; enjoy oneself.,literal,[[We pushed the boat out]] into the water to start our fishing trip,우리는 낚시 여행을 시작하기 위해 [[보트를 물 속으로 밀어 넣었습니다]],我们把船推到水里，开始了我们钓鱼之旅,[[דחפנו את הסירה החוצה]] למים כדי להתחיל את שיט הדיג שלנו,[[A ti ọkọ naa si sita]] sinu omi lati bẹrẹ irin ajo ipẹja wa.
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,figurative,"He's been [[carrying the torch for her]] since high school, but she never noticed",그는 고등학교 이후 [[그녀를 짝사랑해왔지만]] 그녀는 알아채지 못했습니다,他从高中开始就一直暗暗喜欢她，可是她一直没有察觉,[[היו לו רגשות כלפיה]] מאז התיכון אבל היא מעולם לא שמה לב,"O ti [[ni ifẹ rẹ]] lati ile-ẹkọ giga, ṣugbọn ko ṣakiyesi."
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,literal,"During the relay race, he was [[carrying the torch for her]] until it was her turn to run",릴레이 경기 도중 그는 그녀가 뛸 차례가 될 때 까지 [[횃불 봉송을 짊어졌습니다]],接力比赛时，他一直为她举着火把，直到轮到她跑,"במהלך מירוץ השליחים, הוא [[נשא את הלפיד עבורה]] עד שהגיע תורה לרוץ","Ninu ere idije, [[o n gbe fitila naa fun]] titi o fi di  akoko toun naa ma sare."
in the loop,to be aware of the information,figurative,"As a team member, I want to be [[kept in the loop]] about project updates",팀원으로서 프로젝트 업데이트에 대해 [[계속 연락을 받고]] 싶습니다.,作为队伍的成员，我希望一直了解项目的进展,"בתור חבר צוות, אני רוצה [[להיות מעודכן]] בעדכונים לגבי הפרויקט","Gẹgẹ bi ẹlẹgbẹ naa, mo fẹ [[ma mọ gbogbo ohun ti o n ṣẹlẹ]] ninu iṣẹ naa."
in the loop,to be aware of the information,literal,The rope was [[kept in the loop]] to secure the boat to the dock,보트를 부두에 고정하기 위해 로프를 [[루프에 보관했습니다]],为了把船固定在码头上，绳子被打了一个结,החבל [[נשאר בלולאה]] כדי לקשור את הסירה למזח,Okun naa [[wa ni siso]] lati sọ ọkọ oju omi na mọ ebute.
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,figurative,"By revealing company secrets, he [[cut his own throat]] and ruined his career",회사 기밀을 폭로함으로 그는  [[ 스스로 화를 자초하여 ]] 경력을 망쳤습니다.,泄露公司机密，让他自毁前程,בכך שהוא חשף סודות של החברה הוא [[פגע בעצמו]] והרס לעצמו את הקריירה,"O [[fi ọwọ ara e ṣera ẹ ]] nigbati o tu aṣiri ile-iṣẹ, o si ba iṣẹ rẹ jẹ."
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,literal,"While shaving, he accidentally [[cut his own throat]] with the razor",면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],他刮胡子时，不小心用刮胡刀[[割了自己的喉咙]]。,הוא בטעות [[חתך לעצמו את הצוואר]] עם הסכין בזמן שהתגלח,"Bi o ṣe n farun, o ṣiṣe lọ [[ge ọfun rẹ ]]."
pass away,die,figurative,Our beloved grandmother [[passed away peacefully]] in her sleep,사랑하는 우리 할머니는 주무시면서  [[평화롭게 돌아가셨습니다]] ,我们敬爱的奶奶在睡觉的时候去世了,סבתנו האהובה [[מתה בשלווה]] בשנתה,Grandma wa ti a nifẹ gan [[filẹ ṣaṣọbora ]] nigbati wọn n sun. 
pass away,die,literal,"The storm [[passed away peacefully]], leaving a calm and clear sky",폭풍은 [[평화롭게 지나가고]] 고요하고 맑은 하늘을 남겼습니다,风暴平安的过去了，天空宁静晴朗,הסערה [[עברה הלאה ברוגע]] והשאירה שמיים נקיים ורגועים,"Iji naa [[kọja lalafia]], oju orun naa si mọju, o pa rọrọ naa."
flash in the pan,"something that cannot be repeated, usually a positive concept",figurative,"His sudden success turned out to be [[a flash in the pan]], as he couldn't maintain it","그의 갑작스러운 성공은 [[ 한순간의 성공]]으로 밝혀졌는데, 그가 그것을 유지할 수 없었기 때문입니다",他突然的成功结果只是[[昙花一现]]，因为他并没有能够维持,ההצלחה הפתאומית שלו התגלתה כ[[משהו חד פעמי]] משום שהוא לא הצליח לשמור עליה,"Aṣeyọri ojiji ti o ni di [[ohun didara ti ko le tunṣe]], nitori pe mu duro ṣiṣin."
flash in the pan,"something that cannot be repeated, usually a positive concept",literal,"The oil caught fire, creating [[a flash in the pan]] while she was cooking",그녀가 요리하는 동안 기름에 불이 붙어 [[ 팬에서 섬광을]] 일으켰습니다,她做饭的时候，油着了火，[[锅上起了火]],השמן עלה באש ויצר [[הבזק של אור במחבת]] בזמן שהיא בישלה,"Epo naa gbana, ti o si [[fa ikọsan ninu awopẹtẹ]] nigbati o n sounjẹ."
go through a rough patch,to experience a lot of problems in a period of life,figurative,"After losing her job, she was [[going through a rough patch]] in her life","직장을 잃은 후, 그녀는 인생에서 [[힘든 시기를 겪고]] 있었습니다",丢了工作以后，她[[经历了一段坎坷的人生]],אחרי שאיבדה את עבודתה היא [[עברה תקופה קשה]] בחיים שלה,"Lẹyin ti wọn le nibi ṣẹ, [[wahala pupọ de ba]]."
go through a rough patch,to experience a lot of problems in a period of life,literal,"While hiking, we were [[going through a rough patch]] filled with rocks and thorns",산행을 하면서 바위와 가시덤불이 우거진 [[험한 길을 지나고 있었습니다]],远足的时候，我们[[路过了一段]]石头和荆棘遍布的[[艰难之路]],"בזמן שעשינו טיול, [[עברנו דרך מקטע קשוח]] מלא באבנים וקוצים","Nigbati wọn ririn ọna jijin, wọn [[kọja ibi palapala kan ]] ti o kun fun ẹgun ati okuta."
got in his hair,to annoy someone so much that they cannot get on with what they are doing,figurative,The constant questions from his coworkers [[got in his hair]] and made it difficult to concentrate,그의 동료들의 끊임없는 질문은 [[그를 귀찮게 괴롭혀서]] 집중하기 어렵게 만들었습니다,同事无休止的问题[[让他烦心]]，无法集中注意力,השאלה התמידית מצד הקולגות שלו [[לא נתנה לו מנוח]] והקשתה עליו להתרכז,Awọn ibeere ti awọn ẹlẹgbẹ rẹ tẹnumọ [[bi ninu ]] ti o ko file fọkanbalẹ.
got in his hair,to annoy someone so much that they cannot get on with what they are doing,literal,The confetti from the party [[got in his hair]] and took a while to remove,파티에서 온 색종이가 [[그의 머리카락에 들어가]] 제거하는 데 시간이 걸렸습니다,派对里的五彩纸屑[[掉进他的头发里]]，花了好一阵才除掉,הקונפטי מהמסיבה [[נכנס לשיער שלו]] ולקח זמן להוריד אותו,"Konfẹti lati ayẹyẹ naa [[wọ inu irun rẹ]], o gba ni akoko lati ri y ọ."
clean slate,to wipe the past out and begin afresh,figurative,"After apologizing, they decided [[to start with a clean slate]] and rebuild their friendship",사과를 주고받은 후 그들은  [[과거를 잊고 새출발해서]] 서로간의 우정을 재구축하기로 결심했습니다,道歉之后，他们决定不计前嫌，重建他们的友谊,אחרי שהתנצלו הם החליטו [[לפתוח דף חדש]] ובנו מחדש את החברות שלהם,"Lẹyin ti wọn bẹbẹ, wọn pinu lati [[tun bẹrẹ]] irẹpọ wọn. "
clean slate,to wipe the past out and begin afresh,literal,The artist decided [[to start with a clean slate]] by wiping off the chalkboard,예술가는 칠판을 지우며 [[깨끗한 석면에 다시 시작하기로]] 했습니다,这个艺术家决定把黑板檫了重新来过,האמן החליט [[להתחיל עם צפחה נקיה]] ןניקה ממנה את הגיר,"Oniṣọna pa okuta ikọwe rẹ, [[o si pinu lati lo okuta ibole tuntun]] .  "
